Case_Name,IPP Lat,IPP Lon,Find Lat,Find Lot,Watershed,SubjectCategory,Eco Region,Terrain,Distance
Arizona01,31.33446668,-109.81855,31.41008333,-109.8383333,1,Hiker,Dry,Mountainous,5.392022246
Arizona02,31.37999999,-109.8858334,31.3721,-109.9191,0,Dementia,Dry,Flat,2.360740935
Arizona03,31.39708335,-111.2064333,31.40633332,-111.1968333,0,Hiker,Dry,Flat,0.920436843
Arizona04,31.42903334,-110.2932833,31.42951667,-110.3041167,0,Hiker,Dry,Flat,0.748752659
Arizona05,31.43493334,-110.2323333,31.39535001,-110.1093333,3,Mental Retardation,Dry,Flat,8.92172685
Arizona06,31.47053334,-110.1897833,31.52950001,-110.1289833,2,Mental Retardation,Dry,Mountainous,5.838118615
Arizona07,31.50571667,-110.6762167,31.51000001,-110.6533333,0,Hiker,Dry,Flat,1.607238716
Arizona08,31.70055002,-109.4981667,31.70055002,-109.6648333,1,Child,Dry,Flat,11.50783333
Arizona09,31.72261664,-110.1878333,31.74176668,-110.1917833,0,Hiker,Dry,Flat,1.285928794
Arizona10,31.74216665,-111.0135,31.78933334,-111.0201667,1,Mental Retardation,Dry,Mountainous,3.09390451
Arizona11,31.83521665,-110.3567,31.86226667,-110.39655,2,Hiker,Dry,Flat,3.231962613
Arizona12,31.85073331,-109.4219333,31.86200002,-109.338,1,Hiker,Dry,Flat,5.837909901
Arizona13,31.90240002,-109.2784667,31.83949998,-109.2766667,1,Hiker,Dry,Flat,3.903134824
Arizona14,31.92245,-109.9673167,31.92148336,-110.0335833,1,Hiker,Dry,Flat,4.575885381
Arizona15,31.94159997,-109.83255,31.93203335,-109.776,1,Mental Retardation,Dry,Flat,3.946416803
Arizona16,31.43493334,-110.2323333,31.39535001,-110.1093333,3,Mental Retardation,Dry,Flat,8.92172685
Arizona17,33.97181664,-109.0950333,34.13733333,-109.066,1,Camper,Dry,Mountainous,10.21191431
Arizona18,33.82119999,-109.1491833,33.80291665,-109.1465833,1,Child,Dry,Mountainous,0.944799775
Arizona19,34.45878334,-111.2508833,34.44531666,-111.3221,2,Hiker,Dry,Flat,5.003480541
Arizona20,31.92245,-109.9673167,31.92148336,-110.0335833,,Hiker,Dry,Flat,4.575885381
Arizona21,31.90240002,-109.2784667,31.83949998,-109.2766667,,Hiker,Dry,Flat,3.903134824
Arizona22,31.42903334,-110.2932833,31.42951667,-110.3041167,0,Hiker,Dry,Flat,0.748752659
Arizona23,34.55,-111.6333333,34.55,-111.6166667,0,Hiker,Dry,Mountainous,1.150783333
Arizona24,34.65,-112.5,34.65186666,-112.4962333,0,Dementia,Dry,Flat,0.290012634
Arizona25,34.6,-112.55,34.63333333,-112.6333333,1,Hiker,Dry,Flat,6.195664278
Arizona26,31.37999999,-109.8858334,31.3721,-109.9191,0,Dementia,Dry,Flat,2.360740935
Arizona27,34.25450001,-111.3086667,34.26749999,-110.3376667,4,Mental Retardation,Dry,Flat,67.05013274
Arizona28,34.82166665,-111.8066667,34.81833331,-111.7983334,0,Hiker,Dry,Flat,0.616831834
Arizona29,33.39750001,-111.3478333,33.41566668,-111.365,1,Hiker,Dry,Mountainous,1.290888519
Arizona30,32.64609998,-109.8158167,32.65335,-109.80485,0,Mental Retardation,Dry,Flat,0.775096701
